Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
258,USC Upstate,BSth,16-15,-7.42,99.2,106.6,68.1,0.094,-3.47,103.9,107.4,2.38
259,Niagara,MAAC,16-15,-7.45,101,108.5,63.3,0.092,-4.78,102.3,107.1,-5.02
260,Nicholls St.,Slnd,16-15,-7.8,99.5,107.3,70.6,0.023,-5.74,104.1,109.8,14.12
261,Bellarmine,ASun,15-18,-7.99,102.5,110.5,62.3,0.084,0.42,106.5,106.1,5.99
262,North Dakota,Sum,13-20,-8.02,103.5,111.6,67.3,-0.027,-3.1,104.6,107.7,0.19
263,Western Illinois,Sum,16-14,-8.06,103.2,111.3,66.8,0.068,-4.68,104.4,109.1,-3.32
264,Fairfield,MAAC,13-18,-8.08,99,107.1,65.2,0,-4.65,101.9,106.6,-1.28
265,California,P12,29-Mar,-8.2,97.9,106.1,63.6,-0.103,8.62,108.8,100.2,1.28
266,Miami OH,MAC,20-Dec,-8.22,103.9,112.1,66.9,-0.045,-2.57,105.7,108.2,-1.61
267,Prairie View A&M,SWAC,13-19,-8.36,94.4,102.8,68,-0.061,-5.99,100.7,106.7,5.6
268,Dartmouth,Ivy,18-Oct,-8.37,99.5,107.8,68.9,0.002,-1.32,104.1,105.4,-3.43
269,UC San Diego,BW,20-Oct,-8.55,102.1,110.7,66.2,0.03,0.01,104.7,104.7,1.28
270,Oakland,Horz,13-19,-8.66,103.9,112.5,68.5,0.046,-2.27,104.9,107.1,5.76
271,Southern Indiana,OVC,16-16,-8.66,103.4,112.1,69.4,-0.019,-7.67,101.8,109.5,-1.18
272,Boston University,Pat,15-17,-8.73,98.2,106.9,65.6,-0.001,-6.74,101.3,108,-4.12
273,Lafayette,Pat,23-Nov,-8.73,95.6,104.4,63.2,-0.061,-3.82,103.9,107.7,3.21
274,Southern,SWAC,15-17,-8.83,96.2,105.1,71.1,-0.008,-6.71,100.4,107.1,8.08
275,Tennessee Martin,OVC,19-14,-8.89,102,110.9,71.3,0.046,-8.43,101.4,109.8,-2.22
276,Marist,MAAC,13-19,-9.07,98.3,107.4,65.6,-0.027,-7.11,100.5,107.6,-10.24
277,Louisiana Monroe,SB,21-Nov,-9.18,98,107.2,66.1,-0.024,1.05,105.4,104.3,0.86
278,Georgia St.,SB,21-Oct,-9.23,98.3,107.5,67.1,-0.077,-1.34,103.9,105.2,-5.12
279,Mount St. Mary's,MAAC,13-20,-9.27,97.2,106.4,65.9,0.028,-3.95,102.7,106.7,-1.58
280,American,Pat,17-15,-9.33,100.9,110.3,62.7,0.049,-8.3,100.6,108.9,-8.71
281,Bowling Green,MAC,20-11,-9.33,103.9,113.2,69.8,-0.066,-3.76,104.9,108.7,-5.68
282,Illinois St.,MVC,21-Nov,-9.36,100.7,110.1,65.1,-0.02,-4.19,102.9,107.1,-7.82
283,Maine,AE,13-17,-9.37,99.3,108.6,66,-0.001,-3.89,103,106.9,0.29
284,Arkansas St.,SB,13-20,-9.46,100.4,109.9,63.5,-0.012,-2.94,103.2,106.2,-10.36
285,New Hampshire,AE,15-15,-9.67,97.6,107.2,64.3,0.05,-6.01,102.3,108.4,-5.11
286,Lehigh,Pat,16-14,-9.7,98,107.7,69.7,0.084,-6.87,101.4,108.3,-2.06
287,Tennessee Tech,OVC,16-17,-9.72,101.7,111.4,66.8,0.019,-7.11,101.5,108.6,1.96
288,UTSA,CUSA,22-Oct,-9.95,102.2,112.2,69.3,0.022,1.11,105.5,104.4,-5.58
289,Valparaiso,MVC,21-Nov,-9.96,98.5,108.5,68,-0.008,-2.47,104.2,106.7,-4.73
290,Cal Poly,BW,25-8,-9.98,94.4,104.4,64.3,-0.108,-0.1,104.6,104.7,0.09
291,Tennessee St.,OVC,18-14,-10.01,101.3,111.3,71.1,0.01,-10.11,100.2,110.3,-8.89
292,Cal St. Bakersfield,BW,22-Nov,-10.06,95.3,105.4,63.3,0.004,-0.56,103.9,104.5,0.37
293,South Dakota,Sum,19-Dec,-10.11,103.5,113.6,66.1,-0.014,-2.89,104.2,107.1,2.22
294,Texas Southern,SWAC,13-20,-10.21,96.8,107,69.4,0.011,-4.84,100.9,105.8,11.08
295,Louisville,ACC,28-Apr,-10.22,101.5,111.7,66.6,-0.035,6.11,108.9,102.8,1.92
296,Chicago St.,ind,20-Nov,-10.31,103.3,113.6,64.5,-0.056,-0.01,105.9,105.9,1.96
297,Denver,Sum,15-17,-10.4,100.9,111.3,68.7,0.029,-6.4,103.4,109.8,-8.35
298,Coastal Carolina,SB,20-Nov,-10.46,104.4,114.8,68.5,0.019,-1.03,104.7,105.8,-2.52
299,Illinois Chicago,MVC,20-Dec,-10.66,98.2,108.8,69.1,0.019,-3.55,102.3,105.8,-10.23
300,Idaho,BSky,22-Oct,-10.69,103,113.6,66,-0.057,-3.35,104.4,107.8,-5.97
301,Jackson St.,SWAC,14-19,-10.78,99.4,110.1,68.2,0.084,-4.56,100.8,105.4,9.37
302,High Point,BSth,14-17,-11.07,100.3,111.4,71.6,0.054,-5.5,103.3,108.8,-4.27
303,Texas A&M Commerce,Slnd,13-20,-11.09,101.6,112.7,65.5,0.026,-6.48,102.8,109.2,1.68
304,Charleston Southern,BSth,21-Oct,-11.23,105.5,116.7,66,-0.08,-4,103.3,107.3,0.69
305,Alabama A&M,SWAC,15-18,-11.28,96.8,108.1,68.4,-0.011,-8.27,99.5,107.8,2.07
306,Bucknell,Pat,20-12,-11.42,99.1,110.5,66.9,-0.061,-7.92,100.1,108,-7.69
307,Manhattan,MAAC,18-Dec,-11.53,97.6,109.2,67.2,0.047,-5.7,101.8,107.5,-6.66
308,UMKC,Sum,21-Nov,-11.66,96.5,108.2,63.9,-0.013,-3.13,105.1,108.2,2.08
309,Saint Peter's,MAAC,14-18,-11.66,97,108.7,63.1,0.055,-6.03,101.4,107.5,-8.34
310,Northeastern,CAA,20-Oct,-11.88,98,109.8,66.9,-0.006,-4.15,102.7,106.8,-1.81
311,Binghamton,AE,13-18,-11.89,98.8,110.7,66.2,0.028,-5.51,103.1,108.6,-4.98
312,Fairleigh Dickinson,NEC,19-15,-12.22,106.3,118.5,68.9,0.017,-13.93,96.5,110.4,-7.07
313,Tulsa,Amer,25-May,-12.32,99.1,111.4,68.1,-0.046,3.92,106.9,103,-3.24
314,Morgan St.,MEAC,15-16,-12.35,94.6,106.9,70.9,0.073,-5.53,102.1,107.7,2.18
315,Merrimack,NEC,18-16,-12.4,89.6,102,66.5,0.055,-11.58,99.3,110.9,1.52
316,Nebraska Omaha,Sum,23-Sep,-12.5,100.6,113.1,68,0.002,-1.03,105.2,106.2,8.38
317,Eastern Michigan,MAC,23-Aug,-12.62,101.9,114.5,69.3,-0.011,-1.23,106.4,107.6,-0.54
318,Wagner,NEC,15-13,-12.86,93.9,106.7,62.2,0.019,-12.88,97.4,110.3,-3.01
319,North Carolina A&T,CAA,13-19,-13.12,98.3,111.5,70.1,0.054,-4.06,102.5,106.6,5.18
320,William & Mary,CAA,13-20,-13.28,99.9,113.1,65.3,0.031,-4.57,103,107.6,0.61
321,Arkansas Pine Bluff,SWAC,21-10,-13.34,94.7,108.1,69.7,-0.07,-4.7,100.4,105.1,14.05
322,Little Rock,OVC,21-Oct,-13.38,102.3,115.7,71.1,-0.025,-7.14,101.6,108.7,-0.23
323,Western Michigan,MAC,23-Aug,-13.6,103,116.6,65.8,-0.055,-1.88,104.7,106.6,0.66
324,Austin Peay,ASun,22-9,-13.92,97.2,111.1,64.9,-0.058,-2.09,105.5,107.6,0.82
325,The Citadel,SC,22-Oct,-13.96,98.3,112.2,67.3,0,-3.26,104.4,107.6,-3.44
326,Cal St. Northridge,BW,25-Jul,-13.97,95.9,109.8,65.5,-0.002,-1.35,103.6,105,-2.68
327,Loyola MD,Pat,13-20,-14.14,99,113.1,66.2,0.032,-6.72,101.4,108.2,-4.57
328,Stony Brook,CAA,22-Nov,-14.5,96.2,110.7,64.3,0.022,-3.92,102.6,106.5,1.36
329,New Orleans,Slnd,20-Dec,-14.82,98.2,113,71.5,-0.01,-8.26,102.7,110.9,1.78
330,Sacred Heart,NEC,16-17,-14.85,96.5,111.4,69.8,0.027,-13.57,96.7,110.3,-7.7
331,NJIT,AE,23-Jul,-14.89,97.2,112.1,66.4,-0.061,-5.5,103.2,108.7,-5.24
332,Central Arkansas,ASun,22-Sep,-15.25,98.7,114,72.4,0.059,-2.49,105,107.5,-1.35
333,Central Michigan,MAC,21-Oct,-15.27,93.2,108.4,67.3,0.036,-2.68,105.6,108.3,-1.66
334,McNeese St.,Slnd,23-Nov,-15.34,99.1,114.4,66.4,0.016,-6,103.2,109.2,6.76
335,Stonehill,NEC,14-17,-15.42,94.8,110.3,66.4,0.072,-10.33,99.1,109.4,-0.58
336,Incarnate Word,Slnd,19-Dec,-15.82,96.7,112.5,67.1,0.012,-8.28,101.8,110.1,-2.13
337,Elon,CAA,24-Aug,-16,96.9,112.9,66.1,-0.024,-4.53,102.3,106.9,-1.79
338,Coppin St.,MEAC,23-Sep,-16.03,99.3,115.3,71.6,0.067,-2.16,103.4,105.6,4
339,Lindenwood,OVC,21-Nov,-16.64,95.9,112.5,66.9,0.004,-6.55,102.3,108.9,2.44
340,Columbia,Ivy,22-Jul,-16.85,94.5,111.4,69.6,0.013,-2.19,103.7,105.9,-6.79
341,St. Francis PA,NEC,13-18,-16.87,99.8,116.7,68.5,-0.009,-11.83,98.2,110,-0.79
342,Holy Cross,Pat,22-Oct,-16.88,94.3,111.2,69.2,0.005,-7.25,100.7,108,-6.31
343,Central Connecticut,NEC,22-Oct,-16.9,97.3,114.2,64.5,-0.059,-11.39,97.8,109.2,-4.43
344,Eastern Illinois,OVC,22-Sep,-17.05,94.2,111.3,68.1,0.005,-7.92,102,109.9,-3.18
345,South Carolina St.,MEAC,26-May,-17.08,98.7,115.8,71.8,-0.045,-2.3,104.1,106.4,4.15
346,Presbyterian,BSth,27-May,-17.2,93.9,111.1,64.8,-0.104,-4.83,103.7,108.5,-4.01
347,Albany,AE,23-8,-17.33,98.9,116.2,67.4,-0.027,-3.69,103.4,107.1,0.12
348,Bethune Cookman,SWAC,20-12,-17.33,97.2,114.5,69.1,0.038,-7.55,100.6,108.1,-0.75
349,Alabama St.,SWAC,23-8,-17.57,93.3,110.9,66.1,0.005,-5.01,101.4,106.4,7.89
350,Monmouth,CAA,26-Jul,-17.75,92.8,110.5,68.5,-0.016,-2.02,104.2,106.2,5.45
351,Hampton,CAA,24-Aug,-18.23,97.6,115.8,69.1,0.007,-4.64,102.8,107.4,-1.54
352,Evansville,MVC,27-May,-18.34,91.7,110,69.7,-0.004,-1.01,104.7,105.7,-1
353,Houston Christian,Slnd,22-Oct,-18.81,102.2,121,70.8,-0.02,-7.87,102.5,110.4,0.01
354,VMI,SC,25-Jul,-19.7,98.5,118.2,66.8,0.005,-2.47,104.7,107.2,-2.45
355,Mississippi Valley St.,SWAC,27-May,-19.8,92.8,112.6,67.3,-0.026,-3.41,102.3,105.7,9.22
356,Lamar,Slnd,22-Sep,-20.25,95.1,115.3,65.9,0.004,-7.68,102.4,110.1,-1.45
357,Delaware St.,MEAC,24-Jun,-20.37,92.3,112.6,68,0.012,-4.75,102,106.8,0.85
358,Florida A&M,SWAC,22-Jul,-20.41,89.8,110.2,65.2,0.005,-4.1,101.9,106,13.07
359,St. Francis NY,NEC,14-16,-20.99,90.3,111.3,66.2,0.082,-14.12,97.7,111.8,-9.2
360,IUPUI,Horz,27-May,-21.83,96,117.9,67.2,-0.076,-5.26,103.1,108.3,-6.51
361,Green Bay,Horz,29-Mar,-26.29,90.7,117,65.3,0.029,-2.3,104.8,107.1,2.11
362,Hartford,ind,23-May,-29.71,89.6,119.3,65.7,-0.039,-9.47,100.1,109.6,-9.36
363,LIU,NEC,26-Mar,-30.58,86.7,117.2,72.7,-0.024,-8.9,99.8,108.7,5.81
