RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ_T,WAB
77,Santa Clara,WCC,31,23-9,111.1,100.2,0.7666,52.5,50.8,17.1,16.5,30.2,24.5,30.9,25.8,50.5,48.6,37.4,36.2,70,0.6
78,Vanderbilt,SEC,34,20-14,115.6,104.3,0.766,50.1,49.2,16,15,31,31.7,32.3,31.7,49.2,50.4,34.2,31.4,66.6,0.1
79,Kent St.,MAC,32,28-6,107.7,97.2,0.765,51.3,47.2,16.3,22.6,30.9,30.2,32,38.8,52.2,47.8,33.2,30.9,68.1,1.1
80,Stanford,P12,33,14-19,114.6,103.8,0.7587,52.4,51.5,18.9,18.3,31.2,26.4,29.4,28.6,51.1,50.4,36.3,35.4,65.8,-6.2
81,Virginia Tech,ACC,33,19-14,113.8,103.3,0.7537,54.2,50.6,14.8,16.3,26.1,27.4,26.4,24.9,54.1,50.4,36.2,34.1,66.6,-3.4
82,Yale,Ivy,27,21-8,108.8,98.9,0.7513,53.3,46.9,16.5,18.3,28,23.1,31.1,33.3,53.1,45.5,35.8,32.7,66,-2.1
83,Wichita St.,Amer,32,17-15,108.7,99.2,0.7419,50.7,47.5,18.2,16.9,29.1,28.2,30.8,25.9,53.3,45.4,30.9,33.6,66.1,-5.1
84,Hofstra,CAA,32,24-9,109.3,99.7,0.7416,55.2,46.2,15.7,18.5,23,31.3,21.4,25.2,55.2,46.1,36.8,30.9,67.4,-2.3
85,Pittsburgh,ACC,33,22-11,113.9,104,0.741,53.2,49.2,16.4,16.7,30.4,28.2,32.4,30.6,52.7,48.6,36,33.4,67.3,-0.5
86,Bradley,MVC,33,25-9,106.9,97.6,0.7409,52.9,46.6,17.9,19.4,29.2,24,27,31.6,52.7,45.6,35.5,32.2,65.2,-0.9
87,Toledo,MAC,33,27-7,120,109.6,0.7387,56.6,52.4,13.8,18.3,29.9,31,35.1,27.5,54.8,51.9,39.9,35.5,69.6,-0.9
88,Louisiana Lafayette,SB,30,26-7,112.4,102.8,0.736,53,50.6,17.5,18.1,33.8,26.4,37.7,33.8,52.2,49.2,36.6,35.9,68.5,-0.3
89,Wake Forest,ACC,33,19-14,112,102.5,0.7342,54.2,51.6,17.1,17.3,24.8,26.6,32.1,26.7,54,51,36.4,35,69.6,-3.3
90,St. John's,BE,33,18-15,107.6,98.6,0.7337,49.4,50.2,18.7,19.7,34,27.6,27.7,29.6,49.3,49.2,33.1,34.5,73.5,-2.9
91,Marshall,SB,31,24-8,110.1,101.1,0.7276,52.6,47.7,15.5,20.1,31.7,32.6,26.2,28,53.9,47.7,33.6,31.9,72.1,-2.5
92,South Alabama,SB,33,19-16,108.5,99.7,0.7262,52.8,46.6,14.6,16.1,20.9,28.4,22.3,28.3,53.4,47.9,34.5,29,65.6,-7.6
93,Indiana St.,MVC,33,22-12,110.4,101.5,0.7249,56.4,48.2,16.7,17.5,21.7,22.7,31.9,31.4,58.8,48.5,35.7,31.8,70.8,-6.4
94,UNLV,MWC,31,19-13,107.7,99.2,0.7194,49.2,52.4,17.5,24.7,27.9,31,35.5,31,47.9,50.9,34.1,36.1,69.5,-2.6
95,Furman,SC,31,27-7,113.8,105,0.7173,55.6,50.6,15.8,18.4,29.6,27.1,34.7,31.8,59.1,51.2,34.4,33.1,68.5,-1.9
96,UC Irvine,BW,32,23-11,107.2,99.3,0.708,52.3,45.7,17.6,17.5,26.9,26.2,30.1,36.6,50,44.4,38,32.1,69.4,-4.1
97,San Jose St.,MWC,32,20-13,109.8,102.1,0.6965,50.4,48.7,18.8,13.2,34.4,24.3,27.4,28.9,51.2,46.8,32.8,34.7,62.6,-1.3
98,San Francisco,WCC,33,20-14,109.9,102.3,0.6946,53.6,49.9,19.6,17.6,28.5,26.5,32.2,38.1,52.6,49.4,36.4,33.8,68.8,-3.2
99,Vermont,AE,32,23-10,110.4,102.8,0.6939,54.9,50.7,14.2,16.8,19.3,22.5,28.4,26.9,55.5,50,36.2,34.6,64.7,-3.7
100,Montana St.,BSky,32,25-9,105.6,98.4,0.6922,50.9,49.4,17.6,20.1,25.7,25.5,44.4,35.5,52.4,48,32,34.8,66.4,-2.6
101,Saint Louis,A10,32,21-12,111,103.5,0.6916,52.1,48.3,17.3,15.3,29.7,26.5,29.1,32.7,51.8,46.6,35.2,34,69.2,-3
102,Tulane,Amer,31,20-11,109.6,102.5,0.6837,52.4,50.4,15.1,19.3,19.3,30.5,35.4,29.6,53.4,48.2,33.8,35.7,73,-1.7
103,Nebraska,B10,32,16-16,106,99.3,0.6804,51.7,49.9,18.6,17.7,24.7,28.3,28.2,21.9,53.4,49,32.6,34.1,66.9,-2.1
104,Southern Miss,SB,29,25-7,107.2,100.4,0.6789,51.2,47.6,17.5,19.7,30.9,28.7,32.8,30.4,52.4,47.2,32.7,32.2,68.5,-0.5
105,Temple,Amer,32,16-16,107.8,101,0.6785,49.7,48.7,19.8,16.5,28.7,29,34.6,31.5,49.9,47.9,33,33.6,66.1,-5.3
106,Colorado St.,MWC,32,15-18,111.7,104.8,0.6759,54.8,52.2,16.7,17.9,19.6,27.1,29.8,29.6,55.8,51,35.5,35.8,66.3,-6
107,UNC Greensboro,SC,30,20-12,103.6,97.7,0.6627,50.6,47.8,17.8,19.3,29.2,26.5,32.4,31.4,49.3,46.8,35.1,32.8,65.9,-6
108,Akron,MAC,31,22-11,109.3,103.1,0.6616,51.9,49.7,16.6,17.8,29.8,26.5,33.7,28,51.5,48.1,35,35,65.3,-4.5
109,Colgate,Pat,33,26-8,112.5,106.2,0.6608,58.6,51.9,14.9,17.6,24.9,24.1,27.6,20.3,57.1,51.5,40.9,34.9,67.8,-3.5
110,Princeton,Ivy,27,21-8,108.8,103,0.6529,52.5,48,16.9,14.5,28.4,22.8,32.2,29.3,53.5,47.2,34,33.1,67.5,-3.1
111,Washington,P12,32,16-16,104.5,98.9,0.6517,48.8,47.1,19.9,18.4,26.4,34.6,31.7,25.4,50,48.6,31.3,29.7,69.2,-3.7
112,Duquesne,A10,32,20-12,108.1,102.4,0.6488,51,50.2,17.2,20.9,33.4,33.2,26.6,35.1,48.6,48.8,36.5,35.3,68.1,-5.7
113,Cal St. Fullerton,BW,31,20-13,104.4,99,0.6478,49.4,48.6,17.4,20.5,25.9,29.4,38.7,33.4,46.5,49.2,36.2,31.7,64.8,-5.7
114,Mississippi,SEC,33,21-Dec,106.6,101.2,0.6459,47.5,49.5,18.3,18,33.3,29.9,29.2,30.3,48.6,48.9,30.3,33.8,66.1,-8.1
115,James Madison,SB,30,22-11,105.6,100.4,0.6421,51.5,49.4,18.6,21.4,31.3,27.6,38.9,31.8,51.4,50.7,34.5,31.5,70.5,-4.4
116,Kennesaw St.,ASun,31,26-8,106.4,101.4,0.6342,52.9,51.2,17.9,19.6,27.5,25.8,36.5,36.2,51.3,50.5,37.1,34.8,68.6,-1.2
117,Southern Utah,WAC,30,22-12,109.7,104.7,0.6323,51.7,52.5,18.6,18,28,25.4,41.3,32.9,51.5,51.2,34.7,36.6,71.7,-3.6
118,Grand Canyon,WAC,32,24-11,112,106.9,0.6308,52.9,47.2,18.4,15,30.5,30.3,37.8,33.2,50.5,46.8,37.6,32,65,-3.5
119,UC Santa Barbara,BW,32,27-7,111,106.1,0.6258,54.2,49.8,16.8,18.7,26.6,26.1,34.9,29.2,54.8,48.9,35.1,34.5,64.7,-1.1
120,Penn,Ivy,29,17-13,109.9,105.3,0.6191,53.3,49.3,18.9,14.9,30.1,27.9,29.5,31.2,52.7,49.1,36.2,33,66.9,-6.1
121,Charlotte,CUSA,32,18-14,107.1,102.7,0.6167,54.8,50.2,17.3,17.6,22.9,23.8,24.3,25.4,53.6,49,37.6,34.7,60.5,-6.8
122,UMass Lowell,AE,32,26-8,108,103.6,0.6161,53.5,47,20,19.7,35.7,27,33.8,33.9,52.2,44.9,37.7,34.2,68.7,-4.1
123,Belmont,MVC,31,21-11,110.8,106.4,0.6145,55.3,51.1,16.8,17.7,25.4,30,24.3,29.3,53.2,49.8,38.9,35.6,68.5,-4.6
124,Loyola Marymount,WCC,30,19-12,108.4,104.1,0.6145,53.1,51.8,18.3,16.2,30.2,24.6,31.6,34.9,51.9,52,36.5,34.3,67.3,-2.4
125,Towson,CAA,33,21-12,108.1,104.4,0.6011,51.1,48.6,18.4,17.7,35.7,26.7,29.8,29.5,49,47.7,36.7,33.2,64.7,-5.8
126,Fresno St.,MWC,30,20-Nov,103.9,100.3,0.5986,49.3,51.2,18.1,19.7,24.9,28.2,24.3,32.1,51.1,48.3,31.1,37.3,64.1,-9.5
127,Tarleton St.,WAC,29,17-16,104.1,100.6,0.5973,47.5,53.1,18.2,24,25.7,30,48,47.1,46.6,52,33.5,36.3,66.6,-7.5
128,Middle Tennessee,CUSA,31,19-14,105.8,102.4,0.592,51.2,51.6,19.3,21.8,31.9,29.2,29.4,34.6,51,50.2,34.3,36.2,66.9,-5.6
129,Davidson,A10,31,16-16,107.4,104.1,0.5878,50.1,50.8,16.2,17.3,24.9,27.8,32.8,26.7,51.3,51.5,31.9,33,65.3,-8.2
130,Eastern Washington,BSky,31,22-10,110.7,107.5,0.5844,56.5,49.9,19.9,15.9,28.1,25.9,32.1,29.6,58.8,50.7,35.7,32.5,68.5,-3.9
131,Air Force,MWC,32,14-18,106.2,103.2,0.5819,54.2,49.3,19,17.1,22.3,28.6,31.2,35.2,54.8,51.9,35.6,29.3,63.1,-8.6
132,Butler,BE,32,14-18,100.4,97.6,0.5798,49.5,50.1,17.6,18.6,20,30.3,25.9,22.6,49.7,51,32.7,32.1,65.7,-4.7
133,Hawaii,BW,32,22-11,101.2,98.5,0.5776,48.6,44.5,18.6,16.4,29.6,26.5,33.6,27.2,48.2,44.5,32.8,29.5,64.6,-5.4
134,Syracuse,ACC,32,17-15,109.1,106.2,0.5766,51.6,51.2,17,18.7,30,33.6,30.7,21.7,50.5,50.9,36.1,34.4,67.3,-5.9
135,South Florida,Amer,32,14-18,106,103.4,0.5717,50.8,49.8,19.6,18.7,33,27.8,30.7,37.1,51,48.2,33.6,34.9,68.3,-9
136,Stephen F. Austin,WAC,29,19-13,104.4,101.8,0.571,51.5,51.4,21.3,23.8,31.6,32.2,38.9,41.8,49.2,51.7,38,34,69.2,-6.8
137,Ohio,MAC,32,19-14,109.9,107.4,0.5655,52.4,51.6,16.2,17.6,32.8,28.9,27.5,33.9,50.1,51.9,37.3,34.1,68.2,-7.4
138,Utah Tech,WAC,30,14-19,107.8,105.4,0.5654,53.2,53.8,21.4,20,28.7,26.8,44.8,35,50.9,53.3,37.6,36.5,68.7,-10.8
139,Samford,SC,28,21-11,108.2,105.9,0.5614,53.6,51.9,17.9,19.8,28.2,27,41,37.6,52.6,49,36.5,37,68,-5.9
140,Wyoming,MWC,30,22-Sep,107.6,105.3,0.5614,51.6,53.4,18.2,16.4,24.2,25.3,33.4,28.9,51.3,52.6,34.7,36.4,65.7,-10.9
141,Southern Illinois,MVC,32,23-10,100.5,98.4,0.5611,51.7,47.6,19.3,19.6,22.8,27.3,30.6,29.8,54.6,46.7,32.2,33,63.8,-3
142,Missouri St.,MVC,31,17-15,104.4,102.5,0.5522,50.1,49.3,19.1,18.6,33.2,26.9,27.2,30.4,50.9,49.5,32.8,32.6,62.1,-7.6
143,Notre Dame,ACC,32,21-Nov,108.7,106.7,0.5513,52,52.1,13.4,13.6,19.6,26.5,23.3,26.5,50.6,52.4,35.8,34.3,64.8,-11.8
144,Eastern Kentucky,ASun,30,20-13,103.4,101.7,0.5492,47.6,49.5,17.2,18.4,33.3,30.1,24.8,25.7,47.8,48.5,31.5,34.1,70.2,-6.2
145,DePaul,BE,33,23-Oct,106.7,105,0.5472,49.7,51.6,18.2,17.7,25.8,34.1,27.6,35.7,46.3,51.1,36.8,35,68.8,-9
146,Long Beach St.,BW,31,17-16,105.4,103.8,0.5444,48.4,49.8,18.7,18.2,34.6,28,34.4,30,49.4,48.8,30.2,34.2,73.1,-8.5
147,Portland,WCC,31,14-19,110.2,108.5,0.5434,53.8,54.5,18,16.9,24.1,30.2,43.3,27.7,51.8,53.2,37.4,37.4,69.3,-8.9
148,LSU,SEC,33,14-19,106,104.5,0.5422,47.3,51.8,18.4,17.5,31.7,28.8,33.7,30.3,46.2,52.1,32.7,34.3,65.9,-6.8
149,Fordham,A10,33,25-8,102,100.6,0.5398,48.6,47,19.1,19.3,29.9,25.2,37.6,37.4,49.1,46.5,31.8,32,69.6,-1.8
150,Troy,SB,30,20-13,102.8,101.4,0.5391,49.4,48.6,18.7,21.1,30.3,30.1,32.5,34.6,51.2,48.4,31.2,32.7,67.8,-5.9
151,Appalachian St.,SB,29,16-16,101.6,100.3,0.5371,48.7,47.9,16.3,17.1,24.5,28.8,29.3,24.8,48.3,46.5,32.9,33.4,65.1,-9.9
152,Georgia Tech,ACC,31,15-18,104,102.8,0.5339,48.5,50.1,15.6,15.9,27.5,29.9,23.5,30.8,47.4,52,33.4,31,66.6,-8.3
153,Cal Baptist,WAC,31,17-16,103.2,102.1,0.5303,49,47.6,18.1,16,28.9,26.1,31.6,29.3,49.2,49,32.5,29.7,64.1,-9.6
154,Georgia,SEC,32,16-16,104,103,0.5277,47.1,49.8,19.3,16.8,30.5,30.5,40.5,28.9,46.8,51,31.7,31.9,67.7,-5.3
155,UC Riverside,BW,33,22-12,106.3,105.4,0.5237,50.5,51.3,18,17.2,31.8,22.9,26.2,38,48.8,51.5,35.6,34,66.9,-4.3
156,Northern Kentucky,Horz,32,22-12,103.1,102.3,0.522,49.8,51.3,17.5,23.2,31.3,32.8,27.4,30.8,47.7,48.9,35.2,36.7,61.9,-6.5
157,Youngstown St.,Horz,31,24-9,110.6,109.8,0.5216,55.1,51.7,15.7,18,30.8,28.6,29.6,26.4,55.2,51.7,36.5,34.5,68.2,-5.2
158,SMU,Amer,32,22-Oct,103.5,102.7,0.5205,47.4,51.8,18,18.7,28.1,30.5,33,32.8,47.8,51.4,31.1,34.9,69.5,-10.1
159,Seattle,WAC,30,20-12,100.3,99.6,0.5185,46.3,48.8,16.9,17.8,29.9,26.6,32.4,33.3,46.4,49,30.9,32.3,69,-4.7
160,Pacific,WCC,31,15-18,107.8,107.1,0.5176,52.6,54,16.2,17.9,22.9,31.2,33.1,36.4,49.6,55.1,38.3,34.9,69.8,-9.8
161,UC Davis,BW,30,18-14,103.7,103.2,0.5141,49.8,50.7,20.6,20.8,32.2,28.6,42.8,31.5,49.6,48.9,33.5,36.7,70.6,-8.1
162,Montana,BSky,30,17-14,108.1,107.5,0.5139,53.8,51.2,17.3,15.9,24.4,25.1,29.1,37.9,52.4,52.5,37.3,32.5,63.7,-7.6
163,George Mason,A10,33,20-13,101.1,100.6,0.5128,51.9,47.9,20.2,16.9,27.9,24.8,37.1,33,51.5,49.4,35,30.1,66.4,-5.8
164,UNC Wilmington,CAA,32,24-10,101.5,101.1,0.5114,48.9,49.2,18.6,20.7,27.8,28,39.7,37.6,48.3,51.2,33.3,30.5,65.3,-2.9
165,Longwood,BSth,30,20-12,103.7,103.3,0.5113,50.2,51.2,17.8,21.5,32.1,26.9,33.6,33.5,49.5,50.5,34.3,34.7,66,-7.6
166,Brown,Ivy,27,14-13,100.6,100.3,0.5084,50.7,51.2,19,19.7,23.4,23.7,29.8,26.9,49.8,50.4,34.7,35,69.4,-7.2
167,Boston College,ACC,33,16-17,102.7,102.6,0.5039,48.7,51.5,18.3,18.3,27.6,28.3,27.3,27.6,49.2,49.1,31.9,36.8,66.6,-6.8
168,Cleveland St.,Horz,32,21-13,104.4,104.3,0.5036,49.5,48.2,17.4,20.5,35.2,35,30,30.7,50.7,48.8,30.8,31.5,65.7,-8.1
169,Richmond,A10,33,15-18,102.5,102.5,0.5025,51.2,49.6,17.1,17.1,21,25.4,33,26.2,52.4,49.7,33,32.9,65.4,-10.5
170,Cornell,Ivy,26,17-11,110.3,110.2,0.5025,54.8,55.7,16.7,21.9,28.8,29,28.5,30.9,57.5,56.6,34.5,36.2,71.1,-5.5
171,Ball St.,MAC,30,20-12,107.6,107.5,0.5023,53,51,17.8,16.7,30.5,28.4,42.3,31.3,51.7,47.7,36.9,38.4,67.3,-6.3
172,Chattanooga,SC,32,18-17,107.7,107.8,0.4975,54,50.9,17.5,15.3,27.3,26.7,32,30.2,51.8,50.6,37.3,34.2,68.2,-11
173,Lipscomb,ASun,30,20-13,103.6,103.7,0.4971,53.7,50.2,17.3,15.6,25,24.6,23.6,23.3,53.5,49.4,36,34.3,69.3,-7.2
174,Stetson,ASun,28,17-13,112.3,112.4,0.4956,54.1,53.3,15.8,14.5,28.7,28.3,25.5,29.5,51.1,52.7,38.6,36.2,64.5,-6.9
175,North Carolina Central,MEAC,26,18-12,100.3,100.5,0.4934,50.9,48.9,22.6,21.6,32.3,29.6,34.2,35.5,50.1,49.9,35,31.3,67.8,-7.3
176,Saint Joseph's,A10,33,16-17,104.2,104.7,0.4881,50.2,50.5,18.2,18.9,28.9,30.7,34.2,32.8,50.9,50.1,32.9,34.1,69.3,-9.7
177,UNC Asheville,BSth,32,27-7,102.7,103.1,0.488,53.9,48,20,17.9,25.8,28.7,41.3,26.8,51.4,49.1,38.8,30.5,68.4,-1.7
178,Radford,BSth,31,19-14,104,104.5,0.4843,51.5,52.6,18.4,20.3,30.7,27.9,28.8,32.3,50.5,53.5,35.7,34,64.6,-8.4
179,Grambling St.,SWAC,31,24-9,99.5,100.1,0.484,50,44.6,21.2,21,31.5,31.6,41.5,41.1,48.8,43.2,35.5,31.2,66.1,-4.5
180,UTEP,CUSA,30,14-18,99.5,100.2,0.4794,48.6,51.1,22.9,22.9,33.3,29.7,38.8,37.3,50.7,51.8,29.1,33.2,66.8,-10.4
181,Louisiana Tech,CUSA,30,15-18,104.6,105.5,0.4746,50.9,54,19.9,21.3,30.1,28.1,28.4,38.5,50.3,51.1,34.5,38.5,66.6,-9.7
182,St. Bonaventure,A10,32,14-18,100.7,101.9,0.4673,49.2,48.6,18.8,19.4,27.5,29.2,29.5,40.9,47.5,52.1,34.8,28.7,65.7,-11.6
183,Quinnipiac,MAAC,31,20-12,103.9,105.1,0.4665,49.9,48.1,18.1,16.5,32.2,27.6,33,27.1,47.4,48.5,36.1,31.6,69.8,-7.3
184,Georgia Southern,SB,30,17-16,100.4,101.7,0.4639,48.2,49.5,16.3,18.3,25.8,27.3,27.9,34.6,48.4,49.4,31.8,33.2,66.6,-9.8
185,South Dakota St.,Sum,31,19-13,104,105.3,0.4636,51.7,50.9,17.1,17.3,21.5,26,28.1,23.1,51.2,51.7,35.1,33.2,66.8,-6.1
186,Texas A&M Corpus Chris,Slnd,29,23-10,106.1,107.4,0.4629,51.2,52.4,18,20.9,32.5,27.9,34.4,38.6,49,54.1,36.9,33.3,69.2,-5.9
187,Harvard,Ivy,26,14-14,99.6,100.9,0.4622,49.5,48.8,19.8,18.4,30.3,24.3,31.2,25,52.1,50,30,31.2,66,-8.4
188,Buffalo,MAC,30,15-17,103.7,105.2,0.4603,49.5,52.5,19.2,18.3,32.2,29.1,32.1,36.4,50.9,52.3,31.2,35.3,72.3,-9.2
189,Drexel,CAA,31,17-15,100.4,101.8,0.46,49.4,47.4,17.9,18,29.4,27.4,30.1,24.2,50.6,46.2,31.8,33.5,63.5,-10.2
190,St. Thomas,Sum,31,19-14,106.6,108.2,0.4579,51.8,51.9,15.1,17.3,24,28.8,30.7,31,51.2,52.6,35.1,33.7,66.1,-8.4
191,East Carolina,Amer,33,16-17,102,103.5,0.4573,47.1,49.2,19.2,17.4,33,28.9,37.1,33.1,46.9,49.2,31.6,32.9,67.5,-7.7
192,Texas St.,SB,32,16-19,104.6,106.3,0.4554,48.2,50.9,17.9,18.6,31.6,28.5,32.5,41.7,48.6,49,31.4,36.4,63.6,-11.8
193,Western Kentucky,CUSA,31,17-16,103.5,105.1,0.4549,49.6,50.7,17.1,18,25.9,31,32.3,25.6,48.5,48,34.4,36.2,67.4,-8.2
194,Pepperdine,WCC,29,22-Sep,104.6,106.3,0.4531,52,52.5,18.3,16.6,25.9,30.5,26.8,32.6,51.6,51.6,35.1,36.2,72.2,-12.5
195,Abilene Christian,WAC,26,13-17,105.2,107,0.4507,49.2,56.5,17.3,23.3,25.5,28.6,32.3,45.6,48.1,56.2,34.3,38.1,69.2,-10
196,Wright St.,Horz,31,18-15,103.9,105.8,0.4498,53.5,50.3,17.3,17.2,26.2,26.6,24,27.6,53.9,51.2,35.1,32.6,71.3,-10.8
197,Old Dominion,SB,30,19-12,101.8,103.6,0.4495,46.4,48.3,17.1,17.7,32.8,29,36.2,34.7,46.1,48.8,31.5,31.7,65,-5.7
198,George Washington,A10,31,16-16,109.3,111.3,0.4495,53,52,17.6,15.5,26.5,29.7,34.5,27.7,56,51.7,32.1,34.9,68.9,-10.1
199,Navy,Pat,30,18-13,101.5,103.6,0.444,51.5,50.4,17.3,19.5,29.9,28,23.7,30,49.3,49.8,36.9,34.2,64.5,-8.5
200,Weber St.,BSky,31,18-15,99.3,101.3,0.4428,50.8,52.8,19.2,19.3,21,22.4,33.7,31.7,51.8,51.1,32.8,36.8,65.1,-8.1
201,Gardner Webb,BSth,29,15-16,98.8,101.2,0.4311,50.7,49.1,19.5,20.3,28.5,25.1,34.8,39.6,51.5,47.4,32.8,34.7,66.2,-11.2
202,Morehead St.,OVC,28,21-11,101,103.7,0.4245,49.5,49.8,18.9,15.8,27.3,24.6,35.9,28.3,47.1,50.1,35.6,32.7,63.6,-6.5
203,Florida Gulf Coast,ASun,31,17-15,103.7,106.5,0.4237,51.2,50.7,17.1,17.3,26.6,28.8,28.2,28.1,50.1,51.1,35.1,33.4,66.3,-8.5
204,FIU,CUSA,30,14-18,102.8,105.7,0.422,52.1,52.1,20.6,22.8,25.5,36.7,28.7,30.6,53.8,50.4,32.8,36.5,70,-10.9
205,Queens,ASun,30,18-15,106.2,109.2,0.4211,51.2,53,17.6,15.7,29.7,26.1,35.9,25.4,50.5,53,34.8,35.3,69.9,-9.3
206,Georgetown,BE,32,25-Jul,103.5,106.5,0.4195,47.1,53.6,17.5,15.9,28.9,30,29.1,24.5,47.5,50.5,30.9,38.9,68.8,-12.7
207,Florida St.,ACC,32,23-Sep,104.2,107.3,0.4158,49.3,53.1,17.6,17.1,25.9,31.5,30.4,30.9,49.2,50.8,33,37.6,68.8,-12.1
208,Northern Iowa,MVC,31,14-18,103.2,106.4,0.4143,51.3,53.8,17.7,18.2,22.6,22.4,31.1,26.5,51.7,53.6,33.7,36,67.4,-11.3
209,San Diego,WCC,29,20-Nov,109.6,113,0.4134,51.1,58.2,16,17.3,27.9,29.7,30.9,33.4,50.4,55.9,34.8,41,68.7,-11.8
210,La Salle,A10,34,15-19,103.8,107,0.4129,48.5,51,18.1,17.9,30.5,30.5,28.3,31.6,46.9,50.6,34.2,34.5,67.8,-11.4
211,Minnesota,B10,31,22-Sep,102.1,105.3,0.4126,49,50.5,19.6,14.8,25,30.8,30.8,24.8,49.2,49.1,32.5,35.9,65.7,-9.8
212,New Mexico St.,WAC,21,15-Sep,103.6,106.9,0.41,50.2,53.7,18.3,19.1,27,26.5,34.7,37,48.8,52.5,35.1,36.8,69.1,-8.7
213,Howard,MEAC,31,22-12,103.2,106.6,0.4085,52,50.6,22.8,20.7,33.8,31.6,32.8,34.6,49.9,50.8,37.2,33.6,69,-7.2
214,South Carolina,SEC,32,21-Nov,103.2,106.6,0.4065,46.9,52.6,19.9,15.9,32.7,32.5,26.8,29.4,45.8,53.7,32.3,33.8,64.3,-9.4
215,Norfolk St.,MEAC,29,22-11,105.8,109.5,0.4039,52.2,50.2,19.8,19,33.4,30.6,39.5,36.3,53.8,48.3,32.7,34.9,65.3,-5.8
216,Massachusetts,A10,31,15-16,100.2,103.7,0.403,46.4,50.2,20.2,19.2,34.5,27.9,32.2,32.4,45.2,50.5,32.8,33.1,70.7,-9.2
217,Northern Arizona,BSky,33,23-Dec,107,110.8,0.4018,50.5,55.3,15.9,17.2,26.9,25.7,27.4,38.7,48.6,55.7,35.7,36.5,66.8,-15.1
218,Bryant,AE,28,17-13,103.4,107.1,0.3995,52,50,18.7,15.8,29,25.2,32.9,31.9,53.4,49.3,33.3,34.1,72.1,-7.8
219,Rider,MAAC,29,16-14,105,108.9,0.3972,49.5,50.3,17.8,16.5,33.8,28.3,29.3,38.6,49.4,47.5,33.3,36.2,65.1,-9.3
220,Murray St.,MVC,31,17-15,105.6,109.6,0.3962,49,51.9,16.2,15.6,27.4,27.3,33.2,24.4,49.1,53.2,32.6,33.4,66.7,-7.7
221,Siena,MAAC,32,17-15,100.5,104.3,0.396,49.3,49.6,19.5,18.5,30.5,26.8,34.5,33,47.8,49.4,34.9,33.5,66.9,-10.4
222,Oregon St.,P12,31,21-Nov,98.7,102.4,0.3959,46.5,49.6,20.8,18.2,25.3,30.6,33.9,33.9,45.7,49.1,31.9,33.7,63.6,-9.3
223,Detroit,Horz,32,14-19,109.7,113.8,0.394,51.4,53.6,17.6,17.1,35.8,29.7,27.2,28.9,46.4,52.6,38.7,36.8,67.2,-12.9
224,North Dakota St.,Sum,31,16-17,103.4,107.5,0.3918,51.7,50.8,16.9,12.4,24.4,22.6,32.2,27.1,52.2,50.6,33.9,34.2,68.1,-10.1
225,Mercer,SC,31,14-19,98.7,102.6,0.3907,48.9,48.8,18.2,17.4,30.4,27.6,28.6,35.9,48.8,48.4,32.7,33,64.5,-13.8
226,Northwestern St.,Slnd,32,22-11,104.7,109,0.3859,51.3,51,17.3,21,33.3,33.6,27.2,38.7,49.8,51.8,35.8,32.9,66.5,-5.6
227,Campbell,BSth,32,16-18,104.8,109.2,0.3828,52.7,52.5,18.1,18.4,24.4,27.8,38,32.1,54.7,53.2,32.9,34.4,64.3,-13.1
228,North Florida,ASun,29,14-17,108.8,113.7,0.3761,53.3,52.4,17.3,14,26.2,32.9,28.4,23.5,52.1,52.1,36.4,35.5,68.1,-10
229,Loyola Chicago,A10,31,21-Oct,102.3,107,0.3733,52.9,51.6,22.1,17.9,24.5,28.5,31.1,37.5,54.8,51.7,33.4,34.4,66.1,-13.6
230,Rice,CUSA,30,18-15,106,110.9,0.3733,53.4,54.6,18.5,15.9,23.2,26.2,32.8,26,53.7,54,35.3,37.1,69.9,-7.3
231,Jacksonville,ASun,26,13-16,100.4,105,0.3732,50.6,49.8,19.1,14.3,23.9,25.7,22.8,27,51,51.4,33.3,32.1,61,-10.2
232,UC San Diego,BW,28,20-Oct,103.5,108.3,0.3725,49.6,51.8,17.9,16.5,23.2,29.3,26.1,27.9,49.6,49.7,33,37.1,66,-13.9
233,UT Arlington,WAC,29,21-Nov,100,104.6,0.3722,45.9,51.9,21.1,20.1,32.7,30.8,29.7,39.5,44.9,49.6,31.9,37.1,65.9,-13.2
234,Northern Colorado,BSky,31,20-Dec,106,111,0.3705,52.4,53.1,17.5,14,24.3,27,31.4,31.7,51,54.5,36.4,33.4,69.6,-12.6
235,Jacksonville St.,ASun,28,13-18,101.6,106.4,0.369,50.5,52.5,20.2,16.5,29.4,24.1,31.8,29.5,47.9,52.7,36,34.9,65.5,-11.4
236,Portland St.,BSky,29,19-Dec,102.8,107.9,0.3639,49.6,55,16.8,21.3,24,31.4,34.8,46.6,49.7,55,33,36.8,72.4,-12.6
237,Delaware,CAA,32,17-16,102.1,107.2,0.3617,49.6,51.8,16.5,18.6,25,29.8,33,29.4,50.5,50.1,32,36.6,67.1,-9.7
238,Army,Pat,31,17-16,102.7,108.2,0.3554,53.8,51.4,19.1,15.6,25.4,24.2,31.3,28.5,54.7,52.4,34.9,33.1,68.6,-12.5
