RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ_T,WAB
324,North Carolina A&T,CAA,29,13-19,97.3,110.9,0.1818,47.4,50.6,17.5,15.7,24.6,30.2,30,28.5,46.2,51,32.9,33.2,70.1,-13.1
325,New Orleans,Slnd,30,20-Dec,98.3,112.1,0.1811,52.7,54.1,23.6,20.2,29.8,32.7,36.5,39.9,51.1,54.1,37.9,36.2,71.1,-15.5
326,UMKC,Sum,30,21-Nov,94.9,108.4,0.1791,43.4,50.1,19.9,17.3,35.9,29.4,33.3,39.4,44.7,48.9,27.3,34.6,63.9,-15
327,Cal St. Northridge,BW,30,25-Jul,95,108.7,0.1759,44.1,50.4,19.6,18,27.3,30.5,36.6,39,42.8,49.6,31.2,34.6,65.2,-18.8
328,Central Arkansas,ASun,30,22-Sep,98.4,112.6,0.1753,47.1,54.7,18.1,16.7,27.9,30.5,24.3,28.9,46.8,54.8,31.6,36.3,72.3,-15.7
329,McNeese St.,Slnd,33,23-Nov,99,113.3,0.1752,49,55,21.6,18.4,33.3,30.9,29.2,34.9,49.2,52.1,32.4,39.7,66.2,-16.4
330,Western Michigan,MAC,28,23-Aug,101.4,116.4,0.1703,48.8,54.8,19.1,14.4,33,27.6,27.8,33.1,49.3,54.4,32.1,37,65.6,-16.8
331,Stonehill,NEC,30,14-17,94.2,108.1,0.17,50.9,50.2,19.7,19.8,19.1,31.4,32.2,27.3,49.9,49,34.8,34.6,66.7,-12.6
332,Incarnate Word,Slnd,28,19-Dec,96.8,111.5,0.1637,48.5,54.4,20,20.5,26.3,33.2,33.3,32.7,47.3,53.9,34.1,36.8,66.9,-15.3
333,St. Francis PA,NEC,29,13-18,100.4,115.7,0.1636,51.9,51.9,18.3,14.7,25.3,28.9,32.8,29.9,50.4,52.7,36.4,33.7,68.4,-14.5
334,Austin Peay,ASun,28,22-Sep,96,110.9,0.1597,46.3,54.7,17.4,19.5,26,31.9,26.1,37,46,56.4,31.2,34.4,64.9,-15.9
335,The Citadel,SC,31,22-Oct,96.9,112.3,0.1543,49.3,52.4,18.2,16.9,20.8,31.7,28.9,33.9,49.6,53.5,32.5,33.9,67.2,-16.1
336,Stony Brook,CAA,31,22-Nov,95.1,110.7,0.1494,47.5,50.3,19.6,14,21.9,27.4,29.4,26.2,48.1,50,31.1,33.8,63.9,-16
337,Sacred Heart,NEC,32,16-17,95.5,111.4,0.1458,48.4,50.2,18.8,19.4,28.8,30.8,27.6,26.5,49.8,49.7,30.6,34.1,69.9,-13.6
338,Presbyterian,BSth,30,27-May,93.5,109.4,0.1416,47.3,54,20.8,18.4,29.9,29.5,36.5,39.1,47.3,52,31.5,38.5,64.5,-22.4
339,Central Michigan,MAC,29,21-Oct,92.5,108.4,0.1393,46.5,51.9,22.9,19.2,30.5,32.5,36.9,41,47.4,50.9,30,35.6,67.4,-15.1
340,Holy Cross,Pat,30,22-Oct,94.1,110.3,0.1385,48.5,51.8,17.5,17.4,21.5,30.1,25.5,27.8,46.5,53.9,35.3,31.9,69,-18.1
341,Columbia,Ivy,27,22-Jul,94.4,110.8,0.1369,45.5,52,19.9,17.6,25.3,30.9,28.1,28.8,45.4,53.2,30.4,33.1,69.8,-16.6
342,South Carolina St.,MEAC,30,26-May,98.2,115.3,0.1363,46.9,57.7,20.9,21,34.2,34.5,29.2,43.5,47.3,56.8,30.8,39.5,71.8,-19.9
